"id","mechanic"
18,"Race"
18,"Scenario / Mission / Campaign Game"
18,"Simultaneous Action Selection"
8217,"Action Drafting"
8217,"Follow"
8217,"Hand Management"
8217,"Set Collection"
8217,"Variable Phase Order"
244992,"Communication Limits"
244992,"Cooperative Game"
123260,"Auction: Dutch"
123260,"Card Drafting"
123260,"Catch the Leader"
123260,"End Game Bonuses"
123260,"Hexagon Grid"
123260,"Set Collection"
123260,"Tile Placement"
154203,"Card Drafting"
154203,"Contracts"
154203,"Drafting"
154203,"Hand Management"
154203,"Solo / Solitaire Game"
154203,"Take That"
154203,"Variable Player Powers"
123540,"End Game Bonuses"
123540,"Set Collection"
123540,"Time Track"
123540,"Track Movement"
123540,"Variable Player Powers"
123540,"Worker Placement"
2653,"Action Points"
2653,"Dice Rolling"
2653,"Grid Movement"
2653,"Hexagon Grid"
2653,"Map Reduction"
2653,"Memory"
2653,"Modular Board"
2653,"Secret Unit Deployment"
2653,"Take That"
108745,"Card Drafting"
108745,"Dice Rolling"
108745,"Drafting"
108745,"Hand Management"
108745,"Take That"
108745,"Victory Points as a Resource"
176494,"Auction/Bidding"
176494,"Catch the Leader"
176494,"Set Collection"
176494,"Tile Placement"
176494,"Turn Order: Progressive"
100901,"Action Points"
100901,"Cooperative Game"
100901,"Dice Rolling"
100901,"Grid Movement"
100901,"Pick-up and Deliver"
100901,"Simulation"
100901,"Solo / Solitaire Game"
100901,"Square Grid"
100901,"Variable Player Powers"
12942,"Auction/Bidding"
12942,"Closed Economy Auction"
12942,"Increase Value of Unchosen Resources"
12942,"Push Your Luck"
12942,"Set Collection"
77423,"Cooperative Game"
77423,"Deck Construction"
77423,"Events"
77423,"Hand Management"
77423,"Scenario / Mission / Campaign Game"
77423,"Solo / Solitaire Game"
77423,"Variable Set-up"
171623,"Contracts"
171623,"Dice Rolling"
171623,"Income"
171623,"Point to Point Movement"
171623,"Resource to Move"
171623,"Turn Order: Claim Action"
171623,"Variable Player Powers"
171623,"Variable Set-up"
