"id","designer"
217449,"Peter Wichmann"
257499,"Nikki Valens"
257499,"Richard Launius"
257499,"Kevin Wilson"
2448,"William Julius Champion Jr."
2394,"(Uncredited)"
192457,"Grant Rodiek"
192457,"Michał Oracz"
192457,"Michał Walczak"
30539,"Dave Chalker"
109276,"Vital Lacerda"
170416,"Patrick Leder"
170416,"David Somerville"
242574,"Emerson Matsuuchi"
269210,"Wolfgang Warsch"
2407,"Paul T. Haskell Jr."
2407,"William Henry Storey"
770,"Reiner Knizia"
38054,"Gordon Lamont"
38054,"Fraser Lamont"
15364,"Henry Stern"
191977,"Stefan Feld"
222509,"Adam Kwapiński"
203417,"Inka Brand"
203417,"Markus Brand"
127024,"François Rouzé"
175324,"Jacob Jaskov"
162007,"Orin Bishop"
194880,"Klemens Kalicki"
232918,"Andrew Fischer"
232918,"Nathan I. Hajek"
66356,"Peter Lee"
66356,"Bill Slavicsek"
39953,"Nate French"
39953,"Eric M. Lang"
39953,"Christian T. Petersen"
50750,"Jay Cormier"
50750,"Sen-Foong Lim"
102548,"Aureliano Buonfino"
102548,"Lorenzo Silva"
102548,"Lorenzo Tucci Sorrentino"
293014,"Serge Laget"
171233,"Maxime Rambourg"
193042,"Jay Cormier"
193042,"Sen-Foong Lim"
71836,"Shadi Torbey"
143986,"Filip Miłuński"
161614,"Brett Sobol"
161614,"Seth Van Orden"
54138,"Mac Gerdts"
124172,"Tom McMurchie"
124172,"Jordan Weisman"
1345,"Rüdiger Dorn"
137269,"William Attia"
202408,"Filip Neduk"
34585,"Reiner Knizia"
189932,"Peter Lee"
189932,"Rodney Thompson"
189932,"Andrew Veen"
155624,"Emerson Matsuuchi"
146439,"Richard Borg"
146439,"Robert A. Kouba"
10093,"Larry Harris Jr."
10093,"Mike Selinker"
128271,"Xavier Georges"
44163,"Friedemann Friese"
253344,"Rob Daviau"
253344,"Eric M. Lang"
136991,"Laurent Escoffier"
136991,"David Franck"
91872,"Peter Lee"
213893,"Bruno Cathala"
213893,"Marc Paquien"
12995,"Christophe Boelinger"
5716,"Stephen Glenn"
18833,"Reiner Knizia"
18833,"Eric M. Lang"
18833,"Christian T. Petersen"
112686,"Rob Heinsoo"
112686,"Cory Jones"
49,"Uwe Rosenberg"
33604,"Dominic Crapuchettes"
33604,"Satish Pillalamarri"
559,"Dirk Henn"
203416,"Inka Brand"
203416,"Markus Brand"
42452,"Åse Berg"
42452,"Henrik Berg"
47185,"Eric M. Lang"
229220,"Eilif Svensson"
229220,"Kristian Amundsen Østby"
174660,"Chénier La Salle"
137408,"Stefan Feld"
260605,"Steffen Bogen"
72321,"Gil Hova"
245934,"Stefan Feld"
121410,"Aureliano Buonfino"
121410,"Lorenzo Silva"
121410,"Lorenzo Tucci Sorrentino"
15817,"Franz-Benno Delonge"
192458,"Ignacy Trzewiczek"
163,"Laura Robinson"
163,"Paul Toyne"
209418,"Donald X. Vaccarino"
135779,"Jun Sasaki"
3699,"Jeffrey Neil Bellinger"
220520,"Uwe Rosenberg"
121,"Bill Eberle"
121,"Jack Kittredge"
121,"Peter Olotka"
216459,"Peer Sylvester"
9446,"Reiner Knizia"
156566,"Régis Bonnessée"
148575,"Mike Elliott"
148575,"Eric M. Lang"
2593,"David Moffat"
230080,"Marc André"
21050,"Chad Jensen"
201825,"Adam P. McIver"
27710,"Klaus Teuber"
200077,"Justin Blaske"
249259,"Trevor Benjamin"
249259,"David Thompson (I)"
17223,"Christian T. Petersen"
39351,"Martin Wallace"
242,"Eric Goldberg"
242,"Ben Grossman"
242,"Steve Marsh (I)"
242,"Steven Marsh (II)"
242,"Vincent Tsao"
242,"Nikola Vrtis"
103886,"Eric M. Lang"
296151,"Shem Phillips"
296151,"S J Macdonald"
167400,"Isaac Vega"
233312,"Jerry Hawthorne"
203427,"Friedemann Friese"
815,"Andrew Looney"
13642,"Rüdiger Dorn"
246900,"Touko Tahkokallio"
712,"Jervis Johnson"
1,"Karl-Heinz Schmiel"
181530,"Lukas Litzsinger"
40765,"Christian Marcussen"
253284,"Alan R. Moon"
270673,"Phil Walker-Harding"
16395,"Bernard Tavitian"
236191,"Martin Wallace"
234190,"Ramy Badie"
